Using Alchemy ID: xtqZkHA_Jd6helZbZwqBNqm7UaaKAVW_
Fetched 5853 pools (4.2s). 
0x02a2cb09d1cce19b870ea44dfa9774aaf757a9d8	TTK	0.00
0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270	WMATIC	0.92
0x98d0274895a6187e095859d80b6a1248a7fefb98	XMN	0.00
0xc2132d05d31c914a87c6611c10748aeb04b58e8f	USDT	1.00
0x2791bca1f2de4661ed88a30c99a7a9449aa84174	USDC	1.00
0xb79a6c0571e72daa9d8383200cf2330d42aeadbe	GRINGO	0.02
0x1b12bdef2d562e19dd3b8cb66f61f1e1b714d491	XA9	0.00
0x4b56708bca811ed5851b4e41e99d36bfccbacb9f	PLF	0.00
0x6023535715997fc85f87d321a55c6469e964ccb2	SLP	0.21
0x70c006878a5a50ed185ac4c87d837633923de296	REVV	0.01
0x7ecb5699d8e0a6572e549dc86dde5a785b8c29bc	MORI	0.00
0xcd7361ac3307d1c5a46b63086a90742ff44c63b3	RAIDER	0.06
0x8f3cf7ad23cd3cadbd9735aff958023239c6a063	DAI	1.00
0xd4b42287f1ee04af246ad792153c39d62733f826	UCTC	0.65
0x4d7a44d7c243bb2db21def4fd5319c0eca2e5f79	RADIO	0.92
0xb2d957fae155b53721bbd6f091ee3e1750acd17f	TTONE	0.00
0x31a0d1a199631d244761eeba67e8501296d2e383	renZEC	46.07
0xce829a89d4a55a63418bcc43f00145adef0edb8e	renDOGE	0.10
0xf8b3193fb1b06141015f4da5c694def652ed2455	TNC	32456.69
0xa492f43d2eb21c40757d600f4cd08740f18dd83b	SAFEMOON	0.00
0x767058f11800fba6a682e73a6e79ec5eb74fac8c	jGBP	1.16
0x7d645cbbcade2a130bf1bf0528b8541d32d3f8cf	ALRTO	0.00
0x8201532917e55ba29674ef4e88ffe0b775f1bae8	TOWER	1.76
0x39f88cf00c11d90574a63660745489284237d668	GIAO	0.00
0x74457223d2a2860e7f857dd1a709e0584d2ea2e7	CORSO	0.02
0xaaa5b9e6c589642f98a1cda99b9d024b8407285a	TITAN	0.00
0xe4b8c5c3bd0db0079152640ae51a5e8d7cff840f	FMG	0.03
0xa874a3082d232e517654da2ce89374d556d339c4	YEN	0.01
0x0e59eedb3e852a3865457e8c3c735e5a47363f67	tHODL	0.00
0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a	SUSHI	1.16
0x6fdacb3848b0350992110215a9cd241b8954bf57	🏰	0.40
0x9b5d83ccb007958a69fa786d623a4f0043eabc72	BEAN	0.00
0x979b81fe607f957d84cb544fe4dbc450874c5284	DZTN	0.00
0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39	LINK	6.93
0xdb986dc13e1023d02e7cb582ef53034f8fc8b378	CIA	2.48
0x47187193994550f53beeaf0538005b38122fb54a	SLP	0.00
0xaa404804ba583c025fa64c9a276a6127ceb355c6	CPR	0.00
0x6e48b656c2ee92e724b161a69ca206dd113fa7fe	WATERSL	0.07
0xc43146012a1b2bf45d992d0fb7be44667a937fe2	GLUM	0.04
0x07fc484a81f3e3797ff0824aa356302e513cb63d	SDN	0.00
0x31ef549476956d6901220b0eb13dd3ec957f59c2	MMP	0.00
